GeneIDV5-5,GeneSymbol,PathwayID,GenotypeID,Time,Replicate,RPKM
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0,1,47
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0,2,58
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0.5,1,56
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0.5,2,58
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,4,1,75
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,4,2,73
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0,1,42
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0,2,47
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0.5,1,84
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0.5,2,83
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,4,1,33
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,4,2,32
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0,1,68
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0,2,81
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0.5,1,71
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0.5,2,70
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,4,1,62
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,4,2,71
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0,1,65
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0,2,71
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0.5,1,84
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0.5,2,76
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,4,1,32
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,4,2,29
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0,1,73
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0,2,81
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0.5,1,74
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0.5,2,73
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,4,1,79
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,4,2,75
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0,1,62
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0,2,73
